,detect_size,trigger,profit
0,10,0.1,16865681.330872316
0,10,0.15,16865681.330872316
0,10,0.2,4679984049.352675
0,10,0.25,4679984049.352675
0,10,0.3,35087940058.29697
0,10,0.35,35087940058.29697
0,10,0.4,33526762104.42272
0,10,0.45,33526762104.42272
0,10,0.5,60981375088.00958
0,10,0.55,60981375088.00958
0,10,0.6,128867804259.60085
0,10,0.65,128867804259.60085
0,10,0.7,181550815781.5304
0,10,0.75,181550815781.5304
0,10,0.8,235218410735.37723
0,10,0.85,235218410735.37723
0,10,0.9,166552370749.12036
0,10,0.95,166552370749.12036
0,15,0.1,30778632.324706215
0,15,0.15,9092566556.637415
0,15,0.2,50004538533.676956
0,15,0.25,50004538533.676956
0,15,0.3,39273313977.911736
0,15,0.35,75973878208.50162
0,15,0.4,153317340455.83908
0,15,0.45,153317340455.83908
0,15,0.5,186254819916.16855
0,15,0.55,265297858994.24677
0,15,0.6,194198582244.505
0,15,0.65,194198582244.505
0,15,0.7,132294033517.0295
0,15,0.75,109868845525.4556
0,15,0.8,140124343351.56918
0,15,0.85,140124343351.56918
0,15,0.9,139740644575.3145
0,15,0.95,165631951949.36795
0,20,0.1,5963097401.606494
0,20,0.15,36894346233.52021
0,20,0.2,39076426508.924706
0,20,0.25,90494138575.61646
0,20,0.3,143979097916.91284
0,20,0.35,202640867953.07565
0,20,0.4,247348889955.24884
0,20,0.45,182114900702.35593
0,20,0.5,141367927360.15482
0,20,0.55,132307741615.73215
0,20,0.6,162451725598.7771
0,20,0.65,167407835310.5314
0,20,0.7,172245571360.61835
0,20,0.75,85169298356.5358
0,20,0.8,61909978949.769516
0,20,0.85,85235471062.14949
0,20,0.9,54979734369.68508
0,20,0.95,41045194236.507286
0,25,0.1,4543316250.6513605
0,25,0.15,24114211594.289722
0,25,0.2,66019332095.82637
0,25,0.25,133121993930.2417
0,25,0.3,185216081144.64612
0,25,0.35,245496054877.3529
0,25,0.4,115606057595.9252
0,25,0.45,109878715923.37956
0,25,0.5,138534576781.80188
0,25,0.55,152216991808.1796
0,25,0.6,89955147929.08417
0,25,0.65,59535161841.33134
0,25,0.7,87955624848.0874
0,25,0.75,58213429079.65906
0,25,0.8,36296182654.86738
0,25,0.85,22501951415.623188
0,25,0.9,18088263668.414654
0,25,0.95,12270477607.530354
0,30,0.1,17872087531.677486
0,30,0.15,28335372866.407066
0,30,0.2,101069740766.95052
0,30,0.25,118317924195.03581
0,30,0.3,131742146633.65045
0,30,0.35,97652390792.78276
0,30,0.4,161690276277.19894
0,30,0.45,213400108032.0241
0,30,0.5,92430478768.78102
0,30,0.55,62418890283.69128
0,30,0.6,59622925423.51884
0,30,0.65,40751366130.27797
0,30,0.7,23821632623.748634
0,30,0.75,18637334642.44441
0,30,0.8,11327483070.640295
0,30,0.85,8095921823.393895
0,30,0.9,6919863196.871316
0,30,0.95,6119759358.126165
0,35,0.1,12500397796.38087
0,35,0.15,41631839252.98913
0,35,0.2,90098221442.36998
0,35,0.25,133815718044.23726
0,35,0.3,114753302021.92595
0,35,0.35,159985249407.3592
0,35,0.4,125168297226.39233
0,35,0.45,79780066488.78853
0,35,0.5,86769747256.01976
0,35,0.55,52192433450.45791
0,35,0.6,25935894438.500378
0,35,0.65,21420116597.578045
0,35,0.7,11409353699.389614
0,35,0.75,7205437163.22362
0,35,0.8,6162842203.571745
0,35,0.85,5174637053.477944
0,35,0.9,3516291410.7869434
0,35,0.95,2095530350.5560658
0,40,0.1,22831235241.53142
0,40,0.15,54516280910.607445
0,40,0.2,110338762242.51141
0,40,0.25,93328229773.508
0,40,0.3,128479437122.4807
0,40,0.35,106601772408.09323
0,40,0.4,53190832332.17363
0,40,0.45,53208314473.94192
0,40,0.5,38640442432.146515
0,40,0.55,21020613449.83697
0,40,0.6,12253975763.153358
0,40,0.65,6820840852.362805
0,40,0.7,6769775167.694931
0,40,0.75,4568708316.244828
0,40,0.8,3117988006.1357727
0,40,0.85,1660850827.270347
0,40,0.9,1571250677.9044416
0,40,0.95,1143130288.156735
0,45,0.1,15866181805.674665
0,45,0.15,42791043290.02046
0,45,0.2,71516391488.78406
0,45,0.25,92420057663.18265
0,45,0.3,116734380652.17384
0,45,0.35,59522572532.54364
0,45,0.4,52505016990.92593
0,45,0.45,37496297479.1092
0,45,0.5,20117496115.799263
0,45,0.55,11487166914.721638
0,45,0.6,8831932919.752645
0,45,0.65,6133906625.161674
0,45,0.7,3950622750.854182
0,45,0.75,3024973687.357296
0,45,0.8,1610502833.151981
0,45,0.85,1209245375.2011132
0,45,0.9,1254222836.9733884
0,45,0.95,1514096584.494986
0,50,0.1,22899825221.870335
0,50,0.15,39938707740.48652
0,50,0.2,63306905381.52029
0,50,0.25,98084398466.53108
0,50,0.3,50708259493.952255
0,50,0.35,53972284480.9325
0,50,0.4,30523774835.984795
0,50,0.45,19053818329.83487
0,50,0.5,9289423272.525799
0,50,0.55,8410055034.292923
0,50,0.6,3992617471.8209944
0,50,0.65,3303751235.369994
0,50,0.7,1743827023.7008848
0,50,0.75,1329785407.7771604
0,50,0.8,1187766145.8585987
0,50,0.85,1481991369.8953278
0,50,0.9,843479331.4274349
0,50,0.95,904013894.4857969
0,55,0.1,17031271728.115425
0,55,0.15,46221107402.11658
0,55,0.2,57809787483.22718
0,55,0.25,76211863232.22224
0,55,0.3,26375713906.65495
0,55,0.35,32811146772.335476
0,55,0.4,16501948489.15022
0,55,0.45,9308026077.33015
0,55,0.5,6243781473.538835
0,55,0.55,3277633219.1601477
0,55,0.6,2489768951.69617
0,55,0.65,1634557607.421817
0,55,0.7,1383055679.9919906
0,55,0.75,1614276053.1525085
0,55,0.8,1286140236.9205208
0,55,0.85,1116327756.8332794
0,55,0.9,910794500.9604084
0,55,0.95,998080551.6455007
0,60,0.1,18220139096.752666
0,60,0.15,35126920498.36667
0,60,0.2,40786000174.88564
0,60,0.25,23478187164.636623
0,60,0.3,23832946195.336597
0,60,0.35,15430258236.935526
0,60,0.4,7378337881.17133
0,60,0.45,4942757061.057442
0,60,0.5,3083168127.3064604
0,60,0.55,2484796012.791289
0,60,0.6,2305851467.663198
0,60,0.65,1743556703.7263486
0,60,0.7,1601335275.9354365
0,60,0.75,1060823537.718352
0,60,0.8,928537129.9289961
0,60,0.85,1030249239.4240723
0,60,0.9,927104925.0293761
0,60,0.95,1027601227.9059262
0,65,0.1,10874380755.031006
0,65,0.15,23141548796.00766
0,65,0.2,31012306500.633343
0,65,0.25,15463078675.335
0,65,0.3,17321749583.171432
0,65,0.35,9395842507.483858
0,65,0.4,4294656607.8742847
0,65,0.45,3298947955.5401206
0,65,0.5,3237903323.5293508
0,65,0.55,2516498884.5686693
0,65,0.6,1678090615.1846495
0,65,0.65,1516778604.5541382
0,65,0.7,1087389069.5900424
0,65,0.75,932604376.9063013
0,65,0.8,984622784.1644107
0,65,0.85,839606616.5265522
0,65,0.9,825543194.4866682
0,65,0.95,809865973.038503
0,70,0.1,11304963300.94814
0,70,0.15,13781430809.865063
0,70,0.2,14900730824.168736
0,70,0.25,18836183548.559856
0,70,0.3,9037699627.742918
0,70,0.35,5376663677.922974
0,70,0.4,3980707780.9661865
0,70,0.45,2956875501.23618
0,70,0.5,2183387553.228003
0,70,0.55,1828931855.8376672
0,70,0.6,1529191385.8806987
0,70,0.65,1071490358.5269241
0,70,0.7,913760742.87736
0,70,0.75,1020750401.9156907
0,70,0.8,842747031.2545599
0,70,0.85,939381276.072674
0,70,0.9,854183041.0475638
0,70,0.95,582566064.5917587
0,75,0.1,6828461465.090485
0,75,0.15,11079724555.810493
0,75,0.2,9132372416.168474
0,75,0.25,11541301979.573008
0,75,0.3,7248639163.042832
0,75,0.35,3988236168.9712195
0,75,0.4,2765257155.6742797
0,75,0.45,2473227162.5613313
0,75,0.5,2154039723.754636
0,75,0.55,1708109002.9255886
0,75,0.6,1072022578.4769307
0,75,0.65,963817714.7028421
0,75,0.7,1047403765.4551446
0,75,0.75,882201755.4117349
0,75,0.8,907048910.4422325
0,75,0.85,841703289.4825951
0,75,0.9,515117614.27309257
0,75,0.95,386438188.59746253
0,80,0.1,5153035441.365535
0,80,0.15,8793393176.969757
0,80,0.2,6791205041.642966
0,80,0.25,8436507275.514121
0,80,0.3,3934170216.9252377
0,80,0.35,3206055702.8796897
0,80,0.4,2292942025.7030115
0,80,0.45,2688745894.8929462
0,80,0.5,1790111952.6700325
0,80,0.55,1328039272.326235
0,80,0.6,961537072.5630608
0,80,0.65,1055423364.1122495
0,80,0.7,931907602.3921223
0,80,0.75,849676069.5654813
0,80,0.8,762277974.4277791
0,80,0.85,510449404.25893664
0,80,0.9,370996989.28749985
0,80,0.95,203877759.55008948
0,85,0.1,3411908489.5024986
0,85,0.15,6523304142.535582
0,85,0.2,9774787538.328266
0,85,0.25,5691536403.3034725
0,85,0.3,2423600667.3802476
0,85,0.35,2744043182.9942436
0,85,0.4,2539840460.2995687
0,85,0.45,1939026735.3987305
0,85,0.5,1625975530.4979322
0,85,0.55,1039330612.4164348
0,85,0.6,1025764063.1374145
0,85,0.65,882777067.8854294
0,85,0.7,954246711.4425893
0,85,0.75,809418000.4209753
0,85,0.8,499723618.6116151
0,85,0.85,367418828.31884354
0,85,0.9,203877759.55008948
0,85,0.95,223803766.39911583
0,90,0.1,2691991027.8537164
0,90,0.15,5890959878.362374
0,90,0.2,4717082995.526014
0,90,0.25,3479797843.381484
0,90,0.3,2192026097.4719377
0,90,0.35,2326546410.397417
0,90,0.4,2638493959.4189577
0,90,0.45,1838526019.761271
0,90,0.5,1076191744.8828619
0,90,0.55,1025495371.176375
0,90,0.6,925858011.0136218
0,90,0.65,878113542.6999825
0,90,0.7,772945544.7742933
0,90,0.75,505212212.0564778
0,90,0.8,367418828.31884354
0,90,0.85,203877759.55008948
0,90,0.9,217503842.27686346
0,90,0.95,148547797.27944446
0,95,0.1,1744458798.9113178
0,95,0.15,3771569495.755301
0,95,0.2,3341036259.507682
0,95,0.25,2464080684.921041
0,95,0.3,2536837678.80076
0,95,0.35,2479538427.1891885
0,95,0.4,1667730275.968547
0,95,0.45,1394203275.1399913
0,95,0.5,1023034870.1085672
0,95,0.55,1010223136.8956524
0,95,0.6,1075702546.2211022
0,95,0.65,825017506.0083137
0,95,0.7,542382801.6989237
0,95,0.75,395164446.7953353
0,95,0.8,194084233.91666868
0,95,0.85,216205328.92706433
0,95,0.9,148547797.27944446
0,95,0.95,117069526.83138788
0,100,0.1,1264263707.5632808
0,100,0.15,2021490610.0829263
0,100,0.2,2648756050.332394
0,100,0.25,1728456988.8898015
0,100,0.3,2236761851.679507
0,100,0.35,2096912720.8075056
0,100,0.4,1408676792.7679138
0,100,0.45,1119166063.741584
0,100,0.5,933567797.0001111
0,100,0.55,890454439.0294418
0,100,0.6,860309050.2568613
0,100,0.65,668890926.7432292
0,100,0.7,434909673.3689753
0,100,0.75,208412572.4711953
0,100,0.8,216205328.92706433
0,100,0.85,148547797.27944446
0,100,0.9,117069526.83138788
0,100,0.95,113112561.906552
